йа 49
юа 45
чш 41
юд 36
рщ 31
ка 30
рп 29
хе 27
бу 27
ыу 26
юе 25
цч 24
ла 24
за 24
чи 24
гш 22
эщ 22
рй 21
пр 21
дщ 21
ос 21
ус 20
са 20
те 20
ха 20
аш 19
кй 19
ро 19
ще 19
ты 18
йр 17
лш 17
тд 17
нх 16
ри 16
ач 16
фу 16
эп 16
ху 15
ющ 15
эи 15
зщ 15
ыш 15
ыщ 15
зс 14
пн 14
ме 14
зш 14
бе 14
мэ 14
аю 14
ке 14
хп 14
кд 13
щы 13
ва 13
цм 13
гп 12
дш 12
хщ 12
на 12
сд 12
км 12
еш 12
щь 12
фф 11
ьч 11
цп 11
вп 11
йе 11
хл 11
ге 11
ие 11
уо 11
ьк 10
пм 10
га 10
чо 10
рм 10
ым 10
хй 10
йк 10
йй 10
фщ 10
йщ 10
фч 9
шд 9
ви 9
ли 9
им 9
жл 9
ащ 9
кч 9
эа 9
жа 9
па 9
лэ 9
эд 8
ле 8
зл 8
шг 8
уш 8
цк 8
фи 8
ью 7
се 7
жш 7
мд 7
ую 7
хд 7
ип 7
ну 7
чб 7
шщ 7
яы 7
ор 7
тэ 7
ош 7
ис 7
мь 7
щф 7
лу 7
ьр 7
чп 7
шс 7
ье 6
зю 6
чэ 6
нп 6
нф 6
жу 6
та 6
кг 6
ид 6
жи 6
пш 6
эс 6
вс 6
уд 6
шп 6
мш 6
нк 6
бв 5
ищ 5
де 5
кл 5
хр 5
иш 5
ьп 5
нл 5
бю 5
эш 5
чщ 5
лс 5
ей 5
чу 5
не 5
мс 5
дч 5
тб 5
аы 5
чы 5
бм 5
нц 5
ее 5
мч 5
рч 5
тв 5
ый 5
ны 4
жь 4
зу 4
ща 4
зх 4
лл 4
ку 4
пу 4
бш 4
юс 4
бд 4
бп 4
ьн 4
си 4
жж 4
цл 4
дд 4
му 4
ре 4
еы 4
оы 4
вл 4
фн 4
ые 3
шч 3
ол 3
фш 3
рю 3
эк 3
яу 3
ур 3
зд 3
юб 3
ок 3
це 3
пь 3
йы 3
цц 3
ед 3
юы 3
кб 3
ру 3
фд 3
щу 3
яп 3
ях 3
юл 3
ещ 3
жз 3
гл 3
зм 3
бь 3
вд 3
эе 3
ря 3
пщ 3
вк 3
зн 3
нй 3
ег 3
жс 3
эы 3
ьь 3
ав 3
дж 3
оп 3
ду 3
уы 3
вй 3
лщ 3
шх 3
фм 3
фп 3
уч 2
ск 2
шк 2
рб 2
ин 2
лп 2
лч 2
цд 2
ау 2
ер 2
юй 2
щц 2
юх 2
иы 2
щл 2
рц 2
нд 2
оф 2
аж 2
кш 2
мю 2
нщ 2
чр 2
лж 2
цж 2
мн 2
др 2
рэ 2
щг 2
пе 2
бр 2
кы 2
сй 2
дю 2
сл 2
ца 2
уг 2
вы 2
мб 2
хв 2
яс 2
зб 2
фж 2
гь 2
ам 2
чл 2
ча 2
ай 2
мщ 2
еа 2
юр 2
яф 2
ев 1
ой 1
щи 1
юг 1
мм 1
ею 1
тн 1
мп 1
рь 1
ср 1
зе 1
шт 1
йь 1
дэ 1
йд 1
рд 1
ьс 1
пй 1
шя 1
ми 1
жм 1
дз 1
хь 1
эл 1
ьу 1
ьд 1
су 1
ощ 1
тх 1
кз 1
шн 1
бэ 1
бл 1
цю 1
цр 1
ьэ 1
ыр 1
зз 1
ьж 1
шл 1
сс 1
оа 1
пю 1
оь 1
щя 1
сщ 1
аи 1
яю 1
лд 1
цш 1
яж 1
мв 1
еп 1
ая 1
гч 1
щщ 1
ыы 1
гс 1
жр 1
щд 1
яр 1
вц 1
ьи 1
юш 1
чн 1
чз 1
жх 1
эх 1
йш 1
цс 1
хю 1
шр 1
ых 1
дм 1
яа 1
ич 1
шз 1
нш 1
щп 1
ьл 1
тс 1
нн 1
тш 1
щр 1
зр 1
ял 1
лю 1
ап 1
ил 1
шш 1
зв 1
ын 1
еч 1
ио 1
лх 1
щс 1
иу 1
хо 1
еу 1
жб 1
шй 1
нь 1
ше 1
йи 1
жп 1
гэ 1
яо 1
фэ 1
од 1
цы 1
яй 1
ас 1
фь 1
ом 1
ль 1
ея 1
пя 1
